id,domain,concept,definition_query,application_query,expected_answer
1,Common Nouns,Mammal,"Define what a mammal is.","According to this definition, is a dolphin a mammal?",yes
2,Common Nouns,Mammal,"Define what a mammal is.","According to this definition, is a crocodile a mammal?",no
3,Common Nouns,Bird,"Define what a bird is.","According to this definition, is a sparrow a bird?",yes
4,Common Nouns,Bird,"Define what a bird is.","According to this definition, is a bat a bird?",no
5,Common Nouns,Vehicle,"Define what a vehicle is.","According to this definition, is a car a vehicle?",yes
6,Common Nouns,Vehicle,"Define what a vehicle is.","According to this definition, is walking a vehicle?",no
7,Common Nouns,Reptile,"Define what a reptile is.","According to this definition, is a snake a reptile?",yes
8,Common Nouns,Reptile,"Define what a reptile is.","According to this definition, is a frog a reptile?",no
9,Common Nouns,Fruit,"Define what a fruit is.","According to this definition, is an apple a fruit?",yes
10,Common Nouns,Fruit,"Define what a fruit is.","According to this definition, is a carrot a fruit?",no
11,Common Nouns,Tool,"Define what a tool is.","According to this definition, is a hammer a tool?",yes
12,Common Nouns,Tool,"Define what a tool is.","According to this definition, is a pillow a tool?",no
13,Common Nouns,Furniture,"Define what furniture is.","According to this definition, is a chair furniture?",yes
14,Common Nouns,Furniture,"Define what furniture is.","According to this definition, is a laptop furniture?",no
15,Common Nouns,Planet,"Define what a planet is.","According to this definition, is Earth a planet?",yes
16,Common Nouns,Planet,"Define what a planet is.","According to this definition, is the Moon a planet?",no
17,Common Nouns,Insect,"Define what an insect is.","According to this definition, is an ant an insect?",yes
18,Common Nouns,Insect,"Define what an insect is.","According to this definition, is a spider an insect?",no
19,Common Nouns,Musical Instrument,"Define what a musical instrument is.","According to this definition, is a piano a musical instrument?",yes
20,Common Nouns,Musical Instrument,"Define what a musical instrument is.","According to this definition, is a radio a musical instrument?",no
21,Common Nouns,Building,"Define what a building is.","According to this definition, is a house a building?",yes
22,Common Nouns,Building,"Define what a building is.","According to this definition, is a tree a building?",no
23,Common Nouns,Clothing,"Define what clothing is.","According to this definition, is a shirt clothing?",yes
24,Common Nouns,Clothing,"Define what clothing is.","According to this definition, is a chair clothing?",no
25,Common Nouns,Metal,"Define what a metal is.","According to this definition, is iron a metal?",yes
26,Common Nouns,Metal,"Define what a metal is.","According to this definition, is plastic a metal?",no
27,Common Nouns,Emotion,"Define what an emotion is.","According to this definition, is happiness an emotion?",yes
28,Common Nouns,Emotion,"Define what an emotion is.","According to this definition, is hunger an emotion?",no
29,Common Nouns,Appliance,"Define what an appliance is.","According to this definition, is a refrigerator an appliance?",yes
30,Common Nouns,Appliance,"Define what an appliance is.","According to this definition, is a bicycle an appliance?",no
31,Common Nouns,Weapon,"Define what a weapon is.","According to this definition, is a sword a weapon?",yes
32,Common Nouns,Weapon,"Define what a weapon is.","According to this definition, is a spoon a weapon?",no
33,Common Nouns,Language,"Define what a language is.","According to this definition, is English a language?",yes
34,Common Nouns,Language,"Define what a language is.","According to this definition, is mathematics a language?",no
35,Common Nouns,Game,"Define what a game is.","According to this definition, is chess a game?",yes
36,Common Nouns,Game,"Define what a game is.","According to this definition, is sleeping a game?",no
37,Common Nouns,Food,"Define what food is.","According to this definition, is rice food?",yes
38,Common Nouns,Food,"Define what food is.","According to this definition, is sand food?",no
39,Common Nouns,Animal,"Define what an animal is.","According to this definition, is a dog an animal?",yes
40,Common Nouns,Animal,"Define what an animal is.","According to this definition, is a rock an animal?",no
41,Scientific Concepts,Renewable Energy,"Define what renewable energy is.","According to this definition, is solar energy renewable?",yes
42,Scientific Concepts,Renewable Energy,"Define what renewable energy is.","According to this definition, is coal renewable energy?",no
43,Scientific Concepts,Gravity,"Define what gravity is.","According to this definition, does gravity cause objects to fall toward Earth?",yes
44,Scientific Concepts,Gravity,"Define what gravity is.","According to this definition, does gravity push objects away from Earth?",no
45,Scientific Concepts,Photosynthesis,"Define what photosynthesis is.","According to this definition, do plants use photosynthesis to make food?",yes
46,Scientific Concepts,Photosynthesis,"Define what photosynthesis is.","According to this definition, do animals perform photosynthesis?",no
47,Scientific Concepts,Ecosystem,"Define what an ecosystem is.","According to this definition, is a forest an ecosystem?",yes
48,Scientific Concepts,Ecosystem,"Define what an ecosystem is.","According to this definition, is a single rock an ecosystem?",no
49,Scientific Concepts,Atom,"Define what an atom is.","According to this definition, is an atom the basic unit of matter?",yes
50,Scientific Concepts,Atom,"Define what an atom is.","According to this definition, is an atom a living organism?",no
51,Scientific Concepts,Cell,"Define what a cell is.","According to this definition, is a cell the basic unit of life?",yes
52,Scientific Concepts,Cell,"Define what a cell is.","According to this definition, is a mountain made of cells?",no
53,Scientific Concepts,Electric Current,"Define what electric current is.","According to this definition, is electric current the flow of electric charge?",yes
54,Scientific Concepts,Electric Current,"Define what electric current is.","According to this definition, is electric current the flow of water?",no
55,Scientific Concepts,Force,"Define what a force is.","According to this definition, can a force change the motion of an object?",yes
56,Scientific Concepts,Force,"Define what a force is.","According to this definition, is a force a type of living organism?",no
57,Scientific Concepts,Temperature,"Define what temperature is.","According to this definition, does temperature measure how hot or cold something is?",yes
58,Scientific Concepts,Temperature,"Define what temperature is.","According to this definition, does temperature measure mass?",no
59,Scientific Concepts,Evaporation,"Define what evaporation is.","According to this definition, does evaporation involve liquid turning into gas?",yes
60,Scientific Concepts,Evaporation,"Define what evaporation is.","According to this definition, does evaporation turn gas into liquid?",no
61,Scientific Concepts,Magnetism,"Define what magnetism is.","According to this definition, does magnetism involve attraction or repulsion?",yes
62,Scientific Concepts,Magnetism,"Define what magnetism is.","According to this definition, is magnetism a type of chemical reaction?",no
63,Scientific Concepts,Voltage,"Define what voltage is.","According to this definition, is voltage related to electric potential difference?",yes
64,Scientific Concepts,Voltage,"Define what voltage is.","According to this definition, is voltage the same as electric current?",no
65,Scientific Concepts,Mutation,"Define what a mutation is.","According to this definition, is a mutation a change in genetic material?",yes
66,Scientific Concepts,Mutation,"Define what a mutation is.","According to this definition, is a mutation a type of muscle?",no
67,Scientific Concepts,Orbit,"Define what an orbit is.","According to this definition, does the Moon follow an orbit around Earth?",yes
68,Scientific Concepts,Orbit,"Define what an orbit is.","According to this definition, is an orbit a straight line path?",no
69,Scientific Concepts,Acid,"Define what an acid is.","According to this definition, does an acid donate protons in solution?",yes
70,Scientific Concepts,Acid,"Define what an acid is.","According to this definition, is an acid always a metal?",no
71,Scientific Concepts,Bacteria,"Define what bacteria are.","According to this definition, are bacteria microscopic organisms?",yes
72,Scientific Concepts,Bacteria,"Define what bacteria are.","According to this definition, are bacteria large plants?",no
73,Scientific Concepts,Energy,"Define what energy is.","According to this definition, is energy the ability to do work?",yes
74,Scientific Concepts,Energy,"Define what energy is.","According to this definition, is energy a physical object you can hold?",no
75,Scientific Concepts,Pressure,"Define what pressure is.","According to this definition, is pressure force applied over an area?",yes
76,Scientific Concepts,Pressure,"Define what pressure is.","According to this definition, is pressure a unit of time?",no
77,Scientific Concepts,Refraction,"Define what refraction is.","According to this definition, does refraction involve bending of light?",yes
78,Scientific Concepts,Refraction,"Define what refraction is.","According to this definition, does refraction involve sound amplification?",no
79,Scientific Concepts,Carbon Cycle,"Define what the carbon cycle is.","According to this definition, does the carbon cycle involve movement of carbon through ecosystems?",yes
80,Scientific Concepts,Carbon Cycle,"Define what the carbon cycle is.","According to this definition, is the carbon cycle unrelated to living organisms?",no
81,Social & Ethical Concepts,Fairness,"Define fairness by stating at least one necessary condition that must be satisfied for something to be fair.","According to this definition, is treating people equally a form of fairness?",yes
82,Social & Ethical Concepts,Fairness,"Define fairness by stating at least one necessary condition that must be satisfied for something to be fair.","According to this definition, is favoritism toward one person fairness?",no
83,Social & Ethical Concepts,Justice,"Define justice by stating at least one necessary condition that must be satisfied for something to count as justice.","According to this definition, is punishing crimes according to law an aspect of justice?",yes
84,Social & Ethical Concepts,Justice,"Define justice by stating at least one necessary condition that must be satisfied for something to count as justice.","According to this definition, is arbitrary punishment justice?",no
85,Social & Ethical Concepts,Honesty,"Define honesty by stating a necessary condition that must be satisfied for a person to be considered honest.","According to this definition, is telling the truth an example of honesty?",yes
86,Social & Ethical Concepts,Honesty,"Define honesty by stating a necessary condition that must be satisfied for a person to be considered honest.","According to this definition, is deliberately lying honesty?",no
87,Social & Ethical Concepts,Responsibility,"Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.","According to this definition, is being accountable for one’s actions responsibility?",yes
88,Social & Ethical Concepts,Responsibility,"Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.","According to this definition, is avoiding all obligations responsibility?",no
89,Social & Ethical Concepts,Empathy,"Define empathy by stating a necessary condition that must be satisfied for someone to be considered empathetic.","According to this definition, is understanding another person’s feelings empathy?",yes
90,Social & Ethical Concepts,Empathy,"Define empathy by stating a necessary condition that must be satisfied for someone to be considered empathetic.","According to this definition, is ignoring others’ emotions empathy?",no
91,Social & Ethical Concepts,Equality,"Define equality by stating a necessary condition that must be satisfied for people to be treated equally.","According to this definition, is giving everyone the same legal rights equality?",yes
92,Social & Ethical Concepts,Equality,"Define equality by stating a necessary condition that must be satisfied for people to be treated equally.","According to this definition, is discrimination equality?",no
93,Social & Ethical Concepts,Trust,"Define trust by stating a necessary condition that must be satisfied for trust to exist.","According to this definition, is relying on someone’s honesty trust?",yes
94,Social & Ethical Concepts,Trust,"Define trust by stating a necessary condition that must be satisfied for trust to exist.","According to this definition, is constant suspicion trust?",no
95,Social & Ethical Concepts,Freedom,"Define freedom by stating a condition that must be met for an agent to be considered free.","According to this definition, is the ability to make personal choices freedom?",yes
96,Social & Ethical Concepts,Freedom,"Define freedom by stating a condition that must be met for an agent to be considered free.","According to this definition, is total imprisonment freedom?",no
97,Social & Ethical Concepts,Privacy,"Define privacy by stating a condition that must be met for information to be considered private.","According to this definition, is control over personal information privacy?",yes
98,Social & Ethical Concepts,Privacy,"Define privacy by stating a condition that must be met for information to be considered private.","According to this definition, is public exposure of private data privacy?",no
99,Social & Ethical Concepts,Respect,"Define respect by stating a necessary condition that must be satisfied for someone to be treated with respect.","According to this definition, is valuing another person respect?",yes
100,Social & Ethical Concepts,Respect,"Define respect by stating a necessary condition that must be satisfied for someone to be treated with respect.","According to this definition, is insulting someone respect?",no
101,Social & Ethical Concepts,Integrity,"Define integrity by stating a necessary condition that must be satisfied for a person to have integrity.","According to this definition, is acting according to moral principles integrity?",yes
102,Social & Ethical Concepts,Integrity,"Define integrity by stating a necessary condition that must be satisfied for a person to have integrity.","According to this definition, is cheating while pretending to be honest integrity?",no
103,Social & Ethical Concepts,Compassion,"Define compassion by stating a necessary condition that must be satisfied for an action to be compassionate.","According to this definition, is showing concern for others’ suffering compassion?",yes
104,Social & Ethical Concepts,Compassion,"Define compassion by stating a necessary condition that must be satisfied for an action to be compassionate.","According to this definition, is indifference to suffering compassion?",no
105,Social & Ethical Concepts,Accountability,"Define accountability by stating a necessary condition that must be satisfied for an agent to be accountable.","According to this definition, is accepting responsibility for outcomes accountability?",yes
106,Social & Ethical Concepts,Accountability,"Define accountability by stating a necessary condition that must be satisfied for an agent to be accountable.","According to this definition, is denying responsibility accountability?",no
107,Social & Ethical Concepts,Altruism,"Define altruism by stating a necessary condition that must be satisfied for an action to be altruistic.","According to this definition, is helping others without expecting reward altruism?",yes
108,Social & Ethical Concepts,Altruism,"Define altruism by stating a necessary condition that must be satisfied for an action to be altruistic.","According to this definition, is acting only for personal gain altruism?",no
109,Social & Ethical Concepts,Discrimination,"Define discrimination by stating a necessary condition that must be satisfied for an action to count as discrimination.","According to this definition, is unfair treatment based on group membership discrimination?",yes
110,Social & Ethical Concepts,Discrimination,"Define discrimination by stating a necessary condition that must be satisfied for an action to count as discrimination.","According to this definition, is equal treatment of all groups discrimination?",no
111,Social & Ethical Concepts,Cooperation,"Define cooperation by stating a necessary condition that must be satisfied for cooperation to occur.","According to this definition, is working together toward a goal cooperation?",yes
112,Social & Ethical Concepts,Cooperation,"Define cooperation by stating a necessary condition that must be satisfied for cooperation to occur.","According to this definition, is refusing to collaborate cooperation?",no
113,Social & Ethical Concepts,Transparency,"Define transparency by stating a necessary condition that must be satisfied for a process to be transparent.","According to this definition, is openness about processes transparency?",yes
114,Social & Ethical Concepts,Transparency,"Define transparency by stating a necessary condition that must be satisfied for a process to be transparent.","According to this definition, is hiding relevant information transparency?",no
115,Social & Ethical Concepts,Ethical Behavior,"Define ethical behavior by stating a necessary condition that must be satisfied for behavior to be considered ethical.","According to this definition, is acting according to moral norms ethical behavior?",yes
116,Social & Ethical Concepts,Ethical Behavior,"Define ethical behavior by stating a necessary condition that must be satisfied for behavior to be considered ethical.","According to this definition, is knowingly causing harm ethical behavior?",no
117,Social & Ethical Concepts,Consent,"Define consent by stating a necessary condition that must be satisfied for consent to be valid.","According to this definition, is agreeing voluntarily consent?",yes
118,Social & Ethical Concepts,Consent,"Define consent by stating a necessary condition that must be satisfied for consent to be valid.","According to this definition, is forcing agreement consent?",no
119,Social & Ethical Concepts,Human Rights,"Define human rights by stating a necessary condition that must be satisfied for a right to be considered a human right.","According to this definition, are basic freedoms considered human rights?",yes
120,Social & Ethical Concepts,Human Rights,"Define human rights by stating a necessary condition that must be satisfied for a right to be considered a human right.","According to this definition, is denying basic freedoms respecting human rights?",no
121,Procedural Concepts,Algorithm,"Define what an algorithm is.","According to this definition, is a step-by-step procedure an algorithm?",yes
122,Procedural Concepts,Algorithm,"Define what an algorithm is.","According to this definition, is a random guess without steps an algorithm?",no
123,Procedural Concepts,Protocol,"Define what a protocol is.","According to this definition, is a set of agreed rules a protocol?",yes
124,Procedural Concepts,Protocol,"Define what a protocol is.","According to this definition, is an unstructured action a protocol?",no
125,Procedural Concepts,Procedure,"Define what a procedure is.","According to this definition, is a sequence of actions a procedure?",yes
126,Procedural Concepts,Procedure,"Define what a procedure is.","According to this definition, is a single unrelated action a procedure?",no
127,Procedural Concepts,Workflow,"Define what a workflow is.","According to this definition, is an ordered set of tasks a workflow?",yes
128,Procedural Concepts,Workflow,"Define what a workflow is.","According to this definition, is a random collection of tasks a workflow?",no
129,Procedural Concepts,Method,"Define what a method is.","According to this definition, is a systematic way of doing something a method?",yes
130,Procedural Concepts,Method,"Define what a method is.","According to this definition, is a completely unplanned action a method?",no
131,Procedural Concepts,Rule,"Define what a rule is.","According to this definition, is a guideline that governs behavior a rule?",yes
132,Procedural Concepts,Rule,"Define what a rule is.","According to this definition, is a personal preference a rule?",no
133,Procedural Concepts,Policy,"Define what a policy is.","According to this definition, is an official plan of action a policy?",yes
134,Procedural Concepts,Policy,"Define what a policy is.","According to this definition, is an informal suggestion a policy?",no
135,Procedural Concepts,Standard,"Define what a standard is.","According to this definition, is an agreed level of quality a standard?",yes
136,Procedural Concepts,Standard,"Define what a standard is.","According to this definition, is a personal opinion a standard?",no
137,Procedural Concepts,Checklist,"Define what a checklist is.","According to this definition, is a list of items to verify a checklist?",yes
138,Procedural Concepts,Checklist,"Define what a checklist is.","According to this definition, is a story without tasks a checklist?",no
139,Procedural Concepts,Plan,"Define what a plan is.","According to this definition, is a set of intended actions a plan?",yes
140,Procedural Concepts,Plan,"Define what a plan is.","According to this definition, is acting without foresight a plan?",no
141,Procedural Concepts,Schedule,"Define what a schedule is.","According to this definition, is a timetable of activities a schedule?",yes
142,Procedural Concepts,Schedule,"Define what a schedule is.","According to this definition, is a spontaneous action a schedule?",no
143,Procedural Concepts,Process,"Define what a process is.","According to this definition, is a series of steps leading to an outcome a process?",yes
144,Procedural Concepts,Process,"Define what a process is.","According to this definition, is a single isolated event a process?",no
145,Procedural Concepts,Guideline,"Define what a guideline is.","According to this definition, is a recommended practice a guideline?",yes
146,Procedural Concepts,Guideline,"Define what a guideline is.","According to this definition, is a strict law a guideline?",no
147,Procedural Concepts,Instruction,"Define what an instruction is.","According to this definition, is a directive telling how to do something an instruction?",yes
148,Procedural Concepts,Instruction,"Define what an instruction is.","According to this definition, is a random comment an instruction?",no
149,Procedural Concepts,Manual,"Define what a manual is.","According to this definition, is a written guide for using something a manual?",yes
150,Procedural Concepts,Manual,"Define what a manual is.","According to this definition, is an unrelated novel a manual?",no
151,Procedural Concepts,Workflow Automation,"Define what workflow automation is.","According to this definition, is using software to automate tasks workflow automation?",yes
152,Procedural Concepts,Workflow Automation,"Define what workflow automation is.","According to this definition, is performing tasks entirely by hand workflow automation?",no
153,Procedural Concepts,Quality Control,"Define what quality control is.","According to this definition, is checking products for defects quality control?",yes
154,Procedural Concepts,Quality Control,"Define what quality control is.","According to this definition, is ignoring defects quality control?",no
155,Procedural Concepts,Decision Procedure,"Define what a decision procedure is.","According to this definition, is a systematic method for making decisions a decision procedure?",yes
156,Procedural Concepts,Decision Procedure,"Define what a decision procedure is.","According to this definition, is choosing randomly without criteria a decision procedure?",no
157,Procedural Concepts,Verification,"Define what verification is.","According to this definition, is checking correctness against requirements verification?",yes
158,Procedural Concepts,Verification,"Define what verification is.","According to this definition, is guessing without checking verification?",no
159,Procedural Concepts,Validation,"Define what validation is.","According to this definition, is confirming that a system meets its intended use validation?",yes
160,Procedural Concepts,Validation,"Define what validation is.","According to this definition, is ignoring user needs validation?",no
161,Abstract Properties,Efficiency,"Define what efficiency is.","According to this definition, is efficiency about achieving results with minimal waste?",yes
162,Abstract Properties,Efficiency,"Define what efficiency is.","According to this definition, is inefficiency an example of efficiency?",no
163,Abstract Properties,Reliability,"Define what reliability is.","According to this definition, is reliability about consistent performance?",yes
164,Abstract Properties,Reliability,"Define what reliability is.","According to this definition, is frequent failure reliability?",no
165,Abstract Properties,Accuracy,"Define what accuracy is.","According to this definition, is accuracy about correctness?",yes
166,Abstract Properties,Accuracy,"Define what accuracy is.","According to this definition, is making frequent errors accuracy?",no
167,Abstract Properties,Stability,"Define what stability is.","According to this definition, is stability about resistance to change?",yes
168,Abstract Properties,Stability,"Define what stability is.","According to this definition, is constant fluctuation stability?",no
169,Abstract Properties,Flexibility,"Define what flexibility is.","According to this definition, is flexibility about ability to adapt?",yes
170,Abstract Properties,Flexibility,"Define what flexibility is.","According to this definition, is rigidity flexibility?",no
171,Abstract Properties,Robustness,"Define what robustness is.","According to this definition, is robustness about maintaining performance under stress?",yes
172,Abstract Properties,Robustness,"Define what robustness is.","According to this definition, is fragility robustness?",no
173,Abstract Properties,Complexity,"Define what complexity is.","According to this definition, is complexity related to having many interconnected parts?",yes
174,Abstract Properties,Complexity,"Define what complexity is.","According to this definition, is simplicity complexity?",no
175,Abstract Properties,Transparency,"Define what transparency is.","According to this definition, is transparency about openness?",yes
176,Abstract Properties,Transparency,"Define what transparency is.","According to this definition, is secrecy transparency?",no
177,Abstract Properties,Scalability,"Define what scalability is.","According to this definition, is scalability about handling increased workload?",yes
178,Abstract Properties,Scalability,"Define what scalability is.","According to this definition, is inability to grow scalability?",no
179,Abstract Properties,Consistency,"Define what consistency is.","According to this definition, is consistency about uniform behavior over time?",yes
180,Abstract Properties,Consistency,"Define what consistency is.","According to this definition, is contradiction consistency?",no
181,Abstract Properties,Resilience,"Define what resilience is.","According to this definition, is resilience about recovery after disruption?",yes
182,Abstract Properties,Resilience,"Define what resilience is.","According to this definition, is permanent breakdown resilience?",no
183,Abstract Properties,Maintainability,"Define what maintainability is.","According to this definition, is ease of maintenance maintainability?",yes
184,Abstract Properties,Maintainability,"Define what maintainability is.","According to this definition, is difficulty of repair maintainability?",no
185,Abstract Properties,Usability,"Define what usability is.","According to this definition, is usability about ease of use?",yes
186,Abstract Properties,Usability,"Define what usability is.","According to this definition, is confusion usability?",no
187,Abstract Properties,Performance,"Define what performance is.","According to this definition, is performance about how well something functions?",yes
188,Abstract Properties,Performance,"Define what performance is.","According to this definition, is malfunction performance?",no
189,Abstract Properties,Adaptability,"Define what adaptability is.","According to this definition, is adaptability about adjusting to change?",yes
190,Abstract Properties,Adaptability,"Define what adaptability is.","According to this definition, is inability to adjust adaptability?",no
191,Abstract Properties,Durability,"Define what durability is.","According to this definition, is durability about long-lasting use?",yes
192,Abstract Properties,Durability,"Define what durability is.","According to this definition, is fragility durability?",no
193,Abstract Properties,Precision,"Define what precision is.","According to this definition, is precision about exactness?",yes
194,Abstract Properties,Precision,"Define what precision is.","According to this definition, is vagueness precision?",no
195,Abstract Properties,Availability,"Define what availability is.","According to this definition, is availability about being accessible when needed?",yes
196,Abstract Properties,Availability,"Define what availability is.","According to this definition, is constant unavailability availability?",no
197,Abstract Properties,Responsiveness,"Define what responsiveness is.","According to this definition, is responsiveness about quick reaction?",yes
198,Abstract Properties,Responsiveness,"Define what responsiveness is.","According to this definition, is slow reaction responsiveness?",no
199,Abstract Properties,Efficiency (Process),"Define what process efficiency is.","According to this definition, is reducing wasted steps process efficiency?",yes
200,Abstract Properties,Efficiency (Process),"Define what process efficiency is.","According to this definition, is adding unnecessary steps process efficiency?",no
201,Mathematics & Logic,Prime Number,"Define what a prime number is.","According to this definition, is 7 a prime number?",yes
202,Mathematics & Logic,Prime Number,"Define what a prime number is.","According to this definition, is 9 a prime number?",no
203,Mathematics & Logic,Even Number,"Define what an even number is.","According to this definition, is 10 an even number?",yes
204,Mathematics & Logic,Even Number,"Define what an even number is.","According to this definition, is 7 an even number?",no
205,Mathematics & Logic,Odd Number,"Define what an odd number is.","According to this definition, is 5 an odd number?",yes
206,Mathematics & Logic,Odd Number,"Define what an odd number is.","According to this definition, is 8 an odd number?",no
207,Mathematics & Logic,Integer,"Define what an integer is.","According to this definition, is -3 an integer?",yes
208,Mathematics & Logic,Integer,"Define what an integer is.","According to this definition, is 2.5 an integer?",no
209,Mathematics & Logic,Rational Number,"Define what a rational number is.","According to this definition, is 1/2 a rational number?",yes
210,Mathematics & Logic,Rational Number,"Define what a rational number is.","According to this definition, is √2 a rational number?",no
211,Mathematics & Logic,Triangle,"Define what a triangle is.","According to this definition, does a triangle have three sides?",yes
212,Mathematics & Logic,Triangle,"Define what a triangle is.","According to this definition, does a triangle have four sides?",no
213,Mathematics & Logic,Square,"Define what a square is.","According to this definition, does a square have four equal sides?",yes
214,Mathematics & Logic,Square,"Define what a square is.","According to this definition, does a square have three sides?",no
215,Mathematics & Logic,Factor,"Define what a factor is.","According to this definition, is 3 a factor of 12?",yes
216,Mathematics & Logic,Factor,"Define what a factor is.","According to this definition, is 5 a factor of 12?",no
217,Mathematics & Logic,Multiple,"Define what a multiple is.","According to this definition, is 12 a multiple of 3?",yes
218,Mathematics & Logic,Multiple,"Define what a multiple is.","According to this definition, is 7 a multiple of 3?",no
219,Mathematics & Logic,Set,"Define what a set is.","According to this definition, is a collection of distinct elements a set?",yes
220,Mathematics & Logic,Set,"Define what a set is.","According to this definition, is an ordered pair necessarily a set?",no
221,Mathematics & Logic,Subset,"Define what a subset is.","According to this definition, is {1,2} a subset of {1,2,3}?",yes
222,Mathematics & Logic,Subset,"Define what a subset is.","According to this definition, is {1,4} a subset of {1,2,3}?",no
223,Mathematics & Logic,Equation,"Define what an equation is.","According to this definition, is x + 2 = 5 an equation?",yes
224,Mathematics & Logic,Equation,"Define what an equation is.","According to this definition, is x + 2 an equation?",no
225,Mathematics & Logic,Inequality,"Define what an inequality is.","According to this definition, is x > 3 an inequality?",yes
226,Mathematics & Logic,Inequality,"Define what an inequality is.","According to this definition, is x = 3 an inequality?",no
227,Mathematics & Logic,Function,"Define what a function is.","According to this definition, is a rule assigning one output to each input a function?",yes
228,Mathematics & Logic,Function,"Define what a function is.","According to this definition, is a relation with multiple outputs for one input a function?",no
229,Mathematics & Logic,Derivative,"Define what a derivative is.","According to this definition, is a derivative a measure of rate of change?",yes
230,Mathematics & Logic,Derivative,"Define what a derivative is.","According to this definition, is a derivative a fixed constant always?",no
231,Mathematics & Logic,Probability,"Define what probability is.","According to this definition, does probability measure likelihood?",yes
232,Mathematics & Logic,Probability,"Define what probability is.","According to this definition, does probability measure physical weight?",no
233,Mathematics & Logic,Mean,"Define what the mean is.","According to this definition, is the mean the average of values?",yes
234,Mathematics & Logic,Mean,"Define what the mean is.","According to this definition, is the mean the maximum value?",no
235,Mathematics & Logic,Median,"Define what the median is.","According to this definition, is the median the middle value of ordered data?",yes
236,Mathematics & Logic,Median,"Define what the median is.","According to this definition, is the median always the largest value?",no
237,Mathematics & Logic,Angle,"Define what an angle is.","According to this definition, is an angle formed by two intersecting lines?",yes
238,Mathematics & Logic,Angle,"Define what an angle is.","According to this definition, is an angle a three-dimensional object?",no
239,Mathematics & Logic,Parallel Lines,"Define what parallel lines are.","According to this definition, do parallel lines never intersect?",yes
240,Mathematics & Logic,Parallel Lines,"Define what parallel lines are.","According to this definition, do parallel lines intersect at a point?",no
241,Mathematics & Logic,Proof,"Define what a proof is.","According to this definition, is a proof a logical argument establishing truth?",yes
242,Mathematics & Logic,Proof,"Define what a proof is.","According to this definition, is a proof a random guess?",no
243,Mathematics & Logic,Theorem,"Define what a theorem is.","According to this definition, is a theorem a statement proven true?",yes
244,Mathematics & Logic,Theorem,"Define what a theorem is.","According to this definition, is a theorem an unverified opinion?",no
245,Mathematics & Logic,Axiom,"Define what an axiom is.","According to this definition, is an axiom accepted without proof?",yes
246,Mathematics & Logic,Axiom,"Define what an axiom is.","According to this definition, is an axiom derived from experiments?",no
247,Mathematics & Logic,Contradiction,"Define what a contradiction is.","According to this definition, is a contradiction a statement that cannot be true?",yes
